Lname,Fname,Freq,Times,Rank,Regiment
MEIKLE,DAVID,0.0,0,Lieutenant,
MELLISH,RICHARD COPPIN,0.0,0,Second Lieutenant,
MERCER,ARTHUR EDWARD,0.0,0,Captain,
MERRITT,CECIL MACK,0.0,0,Captain,
METCALFE,GEORGE ANDREW,0.0,0,Lieutenant,
MILLAR,ARCHIBALD,0.0,0,Private,
MILVAIN,CHARLES EDWARD FRANCIS,0.0,0,Second Lieutenant,
MITCHELL,STANLEY,0.0,0,Lieutenant,
MONKMAN,HERBERT STANLEY,0.0,0,Captain,
MOORE,DONALD MACKENZIE,0.0,0,Captain,
MORGAN,ALBERT NORTON,0.0,0,Lieutenant,
MORRISON,THOMAS EDMOND,0.0,0,Captain,
MOUCK,ERNEST,0.0,0,Captain,
MUIR,ANDREW CHRISTISON MITCHELL,0.0,0,Lieutenant,
MUIR,ARTHUR EDWARD,0.0,0,Lieutenant,
MUNDELL,DAVID,0.0,0,Lieutenant,
MUNRO,MARY FRANCES,0.0,0,Nursing Sister,
MUNTZ,HERBERT GERARD,0.0,0,Captain,
NASMYTH,JAMES THOMAS,0.0,0,Lieutenant,
NELLES,NORMAN CUMMINGS,0.0,0,Second Lieutenant,
NEWTON,DENZEL ONSLOW COCHRANE,0.0,0,Captain,
NEWTON,WILLIAM SAVAGE,0.0,0,Captain,
NICHOLL,CHRISTOPHER BENONI,0.0,0,Lieutenant,
NORSWORTHY,EDWARD CUTHBERT,0.0,0,Major,
NOXON,GEORGE COURTLAND,0.0,0,Lieutenant,
O'MALLY,WILLIAM,0.0,0,Sapper,
OAKES,HENRY KELLETT,0.0,0,Captain,
PARKER,CYRIL EDMUND,0.0,0,Second Lieutenant,
PASSMORE,HAROLD EGBERT,0.0,0,Lieutenant,
PENINGTON,THOMAS,0.0,0,Second Lieutenant,
PEPLER,ALBERT JAMES,0.0,0,Private,
PHILLIPS,JOHN NOEL,0.0,0,Captain,
PICK,PETER WILSON,0.0,0,Captain,
PICTON-WARD,ESPINE MONTGOMERY,0.0,0,Lieutenant,
PINHEY,HAMNETT EARDLEY,0.0,0,Second Lieutenant,
PLAYNE,LESLIE,0.0,0,Lieutenant,
POPHAM,EDWARD HOME,0.0,0,Captain,
POTT,FRANK,0.0,0,Captain,
POWELL,HAYNES ROBERT,0.0,0,Lieutenant,
PRICE,CHARLES HERITAGE,0.0,0,Lieutenant,
RAYMOND,FREDERICK CHARLES MOTLEY,0.0,0,Second Lieutenant,
REDDOCK,SAMUEL ALLAN,0.0,0,Lieutenant,
REEVE,WILLIAM AUGUSTUS,0.0,0,Lieutenant,
RENNIE,WILLIAM WATSON,0.0,0,Engineer,
REYNOLDS,JOHN EDWARD,0.0,0,Lieutenant,
RICKETTS,NEVILLE HAMILTON,0.0,0,Lieutenant,
RIGBY,PERCY GEORGE,0.0,0,Major,
RIORDAN,HUBERT DE BURGH,0.0,0,Captain,
ROBINSON,FREDERIC WILFRED,0.0,0,Captain,
ROBINSON,RICHMOND FOTHERGILL,0.0,0,Second Lieutenant,
