Lname,Fname,Freq,Times
ADDYMAN,null,3.217524E-6,2,null
ADE,null,6.435048E-6,4,null
ADELINE,null,1.608762E-6,1,null
ADELSON,null,3.217524E-6,2,null
ADELSTEIN,null,1.608762E-6,1,null
ADELSTINE,null,1.608762E-6,1,null
ADEN,null,1.608762E-6,1,null
ADENEY,null,1.608762E-6,1,null
ADER,null,1.608762E-6,1,null
ADES,null,6.435048E-6,4,null
ADEY,null,1.2870096E-5,8,null
ADGETT,null,1.608762E-6,1,null
ADGEY,null,1.608762E-6,1,null
ADIE,null,2.0913905E-5,13,null
ADILMAN,null,3.217524E-6,2,null
ADIN,null,1.608762E-6,1,null
ADJUS,null,1.608762E-6,1,null
ADKIN,null,3.217524E-6,2,null
ADKINS,null,3.5392764E-5,22,null
ADLAM,null,1.6087619E-5,10,null
ADLARD,null,8.043809E-6,5,null
ADLEM,null,3.217524E-6,2,null
ADLER,null,1.4478857E-5,9,null
ADLEY,null,6.435048E-6,4,null
ADLINGTON,null,1.608762E-6,1,null
ADMUSSEN,null,1.608762E-6,1,null
ADNAM,null,1.608762E-6,1,null
ADNERSON,null,1.608762E-6,1,null
ADNEY,null,4.826286E-6,3,null
ADNITT,null,1.608762E-6,1,null
ADOFF,null,1.608762E-6,1,null
ADOLFSON,null,1.608762E-6,1,null
ADOLPH,null,3.217524E-6,2,null
ADOLPHE,null,1.608762E-6,1,null
ADOLPHSON,null,1.608762E-6,1,null
ADOMAITIS,null,1.608762E-6,1,null
ADORAK,null,1.608762E-6,1,null
ADOTTS,null,1.608762E-6,1,null
ADOWSIO,null,1.608762E-6,1,null
ADRAIN,null,9.652572E-6,6,null
ADRIAN,null,8.043809E-6,5,null
ADRZEWSKI,null,1.608762E-6,1,null
ADSEM,null,1.608762E-6,1,null
ADSETT,null,3.217524E-6,2,null
ADSHADE,null,4.826286E-6,3,null
ADSHEAD,null,1.9305144E-5,12,null
ADSIT,null,6.435048E-6,4,null
ADUTT,null,1.608762E-6,1,null
ADY,null,1.608762E-6,1,null
ADYE,null,3.217524E-6,2,null
ADZICH,null,1.608762E-6,1,null
