Lname,Fname,Freq,Times
BIRCH REYNARDSON,null,1.5210513E-5,1,null
BIRCHALL,null,1.5210513E-5,1,null
BIRD,null,6.0842052E-5,4,null
BIRNIE,null,1.5210513E-5,1,null
BIRT,null,1.5210513E-5,1,null
BIRTWHISTLE,null,1.5210513E-5,1,null
BISHOP,null,1.5210513E-5,1,null
BISSET,null,1.5210513E-5,1,null
BITTLE,null,1.5210513E-5,1,null
BLACK,null,7.6052565E-5,5,null
BLACKBURN,null,3.0421026E-5,2,null
BLACKLEY,null,1.5210513E-5,1,null
BLACKLOCK,null,3.0421026E-5,2,null
BLACKMAN,null,1.5210513E-5,1,null
BLADES,null,1.5210513E-5,1,null
BLAIN,null,1.5210513E-5,1,null
BLAIR,null,1.5210513E-5,1,null
BLAKE,null,7.6052565E-5,5,null
BLAMEY,null,1.5210513E-5,1,null
BLANCHARD,null,1.5210513E-5,1,null
BLANCHETT,null,1.5210513E-5,1,null
BLANE,null,1.5210513E-5,1,null
BLATCHFORD,null,1.5210513E-5,1,null
BLAYNEY,null,1.5210513E-5,1,null
BLEAKLEY,null,3.0421026E-5,2,null
BLEES,null,1.5210513E-5,1,null
BLEWDEN,null,1.5210513E-5,1,null
BLIGH,null,1.5210513E-5,1,null
BLISS,null,1.5210513E-5,1,null
BLISSETT,null,1.5210513E-5,1,null
BLOIS,null,1.5210513E-5,1,null
BLOOMER,null,3.0421026E-5,2,null
BLOTT,null,1.5210513E-5,1,null
BLOXAM,null,1.5210513E-5,1,null
BLUNDY,null,1.5210513E-5,1,null
BLUNT,null,1.5210513E-5,1,null
BOARDMAN,null,3.0421026E-5,2,null
BODEYN,null,1.5210513E-5,1,null
BOEYCKENS,null,1.5210513E-5,1,null
BOGGS,null,1.5210513E-5,1,null
BOGLE,null,1.5210513E-5,1,null
BOLAND,null,3.0421026E-5,2,null
BOLSTER,null,1.5210513E-5,1,null
BOLTON,null,3.0421026E-5,2,null
BOND,null,4.563154E-5,3,null
BONE,null,3.0421026E-5,2,null
BOOLSEN,null,1.5210513E-5,1,null
BOOTH,null,3.0421026E-5,2,null
BORELAND,null,1.5210513E-5,1,null
BORTHWICK,null,1.5210513E-5,1,null
BOSTON,null,1.5210513E-5,1,null
BOSWELL,null,1.5210513E-5,1,null
BOTTOMLEY,null,1.5210513E-5,1,null
BOUCH,null,1.5210513E-5,1,null
BOUDREAU,null,1.5210513E-5,1,null
BOULANGER,null,1.5210513E-5,1,null
BOULDRY,null,1.5210513E-5,1,null
BOULICH,null,1.5210513E-5,1,null
BOULTBEE,null,1.5210513E-5,1,null
BOULTER,null,1.5210513E-5,1,null
BOULTON,null,1.5210513E-5,1,null
BOURGES,null,1.5210513E-5,1,null
BOUSQUET,null,1.5210513E-5,1,null
BOWCOCK,null,1.5210513E-5,1,null
BOWDEN,null,1.5210513E-5,1,null
BOWE,null,1.5210513E-5,1,null
BOWEN,null,4.563154E-5,3,null
BOWERMAN,null,1.5210513E-5,1,null
BOWEY,null,1.5210513E-5,1,null
BOWHAY,null,1.5210513E-5,1,null
BOWIE,null,4.563154E-5,3,null
BOWLBY,null,1.5210513E-5,1,null
BOWLES,null,1.5210513E-5,1,null
BOWLT,null,1.5210513E-5,1,null
BOWMAN,null,3.0421026E-5,2,null
BOWNASS,null,1.5210513E-5,1,null
BOWSER,null,1.5210513E-5,1,null
BOWSTEAD,null,1.5210513E-5,1,null
BOWYER,null,6.0842052E-5,4,null
BOYCE,null,3.0421026E-5,2,null
BOYD,null,1.5210513E-5,1,null
BOYLE,null,6.0842052E-5,4,null
BRADBURY,null,1.5210513E-5,1,null
BRADE,null,1.5210513E-5,1,null
BRADFORD,null,4.563154E-5,3,null
BRADLEY,null,4.563154E-5,3,null
BRADSHAW,null,1.5210513E-5,1,null
BRADY,null,4.563154E-5,3,null
BRAIK,null,1.5210513E-5,1,null
BRAMLEY,null,1.5210513E-5,1,null
BRAND,null,1.5210513E-5,1,null
BRANT,null,1.5210513E-5,1,null
BRAZEL,null,1.5210513E-5,1,null
BREACH,null,1.5210513E-5,1,null
BREED,null,1.5210513E-5,1,null
BREMNER,null,1.5210513E-5,1,null
BRENNAN,null,4.563154E-5,3,null
BRENNER,null,1.5210513E-5,1,null
BRETON,null,1.5210513E-5,1,null
BRETT,null,1.5210513E-5,1,null
BREW,null,1.5210513E-5,1,null
BRIDGE,null,1.5210513E-5,1,null
BRIDGEMAN,null,1.5210513E-5,1,null
BRIDGES,null,3.0421026E-5,2,null
BRIEN,null,1.5210513E-5,1,null
BRIERE,null,1.5210513E-5,1,null
BRIERTON,null,1.5210513E-5,1,null
BRIGGS,null,3.0421026E-5,2,null
BRIGNALL,null,1.5210513E-5,1,null
BRIMBLE,null,1.5210513E-5,1,null
BRINKWORTH,null,1.5210513E-5,1,null
BRISBOIS,null,1.5210513E-5,1,null
BRISCO,null,1.5210513E-5,1,null
BRISCOE,null,3.0421026E-5,2,null
BRISEBOIS,null,1.5210513E-5,1,null
BRISTER,null,1.5210513E-5,1,null
BRISTLON,null,1.5210513E-5,1,null
BROAD,null,1.5210513E-5,1,null
BROCK,null,1.5210513E-5,1,null
BROCKIE,null,1.5210513E-5,1,null
BRODDY,null,1.5210513E-5,1,null
BRODERICK,null,1.5210513E-5,1,null
BRODIE,null,4.563154E-5,3,null
BROGDEN,null,1.5210513E-5,1,null
BROMLEY,null,1.5210513E-5,1,null
