Lname,Fname,Freq,Times
ATTWOOD,CHARLES,1.5210513E-5,1,Private
ATWELL,AUBREY GRANT,1.5210513E-5,1,Private
ATWILL,SYDNEY GORDON GOBER,1.5210513E-5,1,Private
AUBERTIN,OLIVIA,1.5210513E-5,1,Private
AUBIN,ALBERT LOUIS,1.5210513E-5,1,Private
AUDREY,ARTHUR GEORGE,1.5210513E-5,1,Corporal
AUGER,LOUIS GEORGE (LEWIS),1.5210513E-5,1,Bombardier
AUGIN,JOSEPH,1.5210513E-5,1,Private
AULD,ALEXANDER,1.5210513E-5,1,Private
AUSTIN,HENRY DAVID,1.5210513E-5,1,Private
AVERY,GEORGE,1.5210513E-5,1,Private
AVERY,JOHN HENRY,1.5210513E-5,1,Private
AYERS,WILLIAM BLANCHARD,1.5210513E-5,1,Private
BABCOCK,WILLIAM LESTER,1.5210513E-5,1,Private
BACKHURST,FREDERICK JOHN,1.5210513E-5,1,Private
BACON,FRANCIS GEORGE,1.5210513E-5,1,Lance Corporal
BACON,HARRY JOHN,1.5210513E-5,1,Private
BADCOCK,ALFRED SAMUEL,1.5210513E-5,1,Private
BADDELEY,EDWARD CLINTON,1.5210513E-5,1,Private
BADENOCH,GEORGE HUNTLEY,1.5210513E-5,1,Private
BADLEY,SIDNEY,1.5210513E-5,1,Private
BAILEY,ALEXANDER,1.5210513E-5,1,Lance Corporal
BAILEY,BENJAMIN BERNARD,1.5210513E-5,1,Private
BAILEY,CHRISTOPHER THOMAS,1.5210513E-5,1,Sergeant
BAILLIE,NATHANIEL,1.5210513E-5,1,Private
BAILY,HUGH REGINALD,1.5210513E-5,1,Private
BAIN,DAVID,1.5210513E-5,1,Private
BAIN,ERLE MARTIN,1.5210513E-5,1,Private
BAIRD,WILLIAM,1.5210513E-5,1,Private
BAKER,ALFRED PARKES,1.5210513E-5,1,Lieutenant
BAKER,ERNEST,1.5210513E-5,1,Private
BAKER,HUGH GLYNN,1.5210513E-5,1,Private
BAKER,JOHN PERCIVAL,1.5210513E-5,1,Private
BAKER,JOSEPH,1.5210513E-5,1,Lance Corporal
BAKER,PERCY IRVINE,1.5210513E-5,1,Private
BALFOUR,WALTER,1.5210513E-5,1,Private
BALL,ALBERT RANSOME,1.5210513E-5,1,Lieutenant
BALL,FRANK FLETCHER,1.5210513E-5,1,Private
BALL,FREDERICK DRAPER,1.5210513E-5,1,Private
BALL,HERBERT JOSEPH,1.5210513E-5,1,Private
BALL,WILLIAM JOHN,1.5210513E-5,1,Gunner
BALLENTYNE,JOHN,1.5210513E-5,1,Private
BALLOCH,JOHN,1.5210513E-5,1,Private
BALMER,JOHN FREDERICK,1.5210513E-5,1,Private
BALSER,WILLIAM AULDEN,1.5210513E-5,1,Private
BAMFORD,WILLIAM,1.5210513E-5,1,Gunner
BANBROOK,FREDERICK WILLIAM,1.5210513E-5,1,Private
BAND,HARRY,1.5210513E-5,1,Sergeant
BANISTER,JOHN EDWIN,1.5210513E-5,1,Private
BANKS,JAMES ARTHUR,1.5210513E-5,1,Private
BANKS,ROBERT ROBSON,1.5210513E-5,1,Private
BANNERMAN,ANGUS,1.5210513E-5,1,Private
BANNISTER,GEORGE SIMPSON,1.5210513E-5,1,Sergeant
BANNON,JAMES CHARLES,1.5210513E-5,1,Private
BANON,HAROLD OLIVER,1.5210513E-5,1,Private
BAPTIST,DAVID YULE,1.5210513E-5,1,Private
BARANECK,JOSEPH,1.5210513E-5,1,Private
BARAZINI,GEORGE,1.5210513E-5,1,Private
BARBEAU,GEORGE,1.5210513E-5,1,Private
BARDWELL,MARCUS GEORGE,1.5210513E-5,1,Private
BARIL,CONRAD M L,1.5210513E-5,1,Sapper
BARKER,GEORGE,1.5210513E-5,1,Private
