LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
THOMSON,LESLIE,THOMPSON,LESLIE,432411,432411,Private,0
VAN EVERY,WILLIAM,VANEVERY,WILLIAM ELMYR,766096,766096,Private,0
ACHESON,WEIR HENRY,ACHESOM,WEIR HENRY,814,814,Lance Sergeant,0
ARSENEAULT,EDWARD,ARSENAULT,EDWARD,417712,417712,Private,0
BLAKELEY,WILLIAM HENRY,BLAKELY,WILLIAM HENRY,463825,463825,Pioneer,0
BLUNDUN,GEORGE,BLUNDEN,GEORGE,104151,104151,Pioneer,0
BOURGOING,JOSEPH ALCIDE,BOURGOIN,JOSEPH,445123,445123,Private,0
BRAYLEY,JOHN WESTLEY,BRALEY,JOHN,466242,466242,Private,0
BURGES,FRANK LACKLAN,BURGESS,FRANK LACKLAN,71129,71129,Private,0
CARBERRY,EDWARD,CARBERY,EDWARD,478753,478753,Private,0
CARROTHERS,CHARLES WILFRED,CARRUTHERS,CHARLES WILLIAM,477158,477158,Private,0
COCHRAN,JAMES,COCHRANE,JAMES,503370,503370,Sapper,0
COGGON,PHILIP,COGGAN,PHILIP,77806,77806,Private,0
CONNELLY,JOSEPH,CONNOLLY,JOSEPH,457763,457763,Private,0
CROCKFORD,ALFRED WILLIAM,CROCHFORD,ALFRED,27324,27324,Private,0
D'ALL,GEORGE,DALL,GEORGE,63260,63260,Lance Corporal,0
D'ENTREMONT,LEO ZACHRIE,DENTREMONT,LEO,477244,477244,Lance Corporal,0
D'HORSET,LOUIS,DHORSET,LOUIS,489199,489199,Private,0
DE LARONDE,DENNIS,DELARONDE,DENNIS,439521,439521,Private,0
DE LAY,JOHN AMERICAS,DELAY,JOHN AMERICAS,436342,436342,Private,0
DE VILLIERS,CORNELIUS ERNUSTUS,DEVILLIERS,CORNELIUS E,13229,13229,Private,0
DES BRISAY,ERIC MERRIL,DESBRISAY,ERIC MERRILL,98,98,Sapper,0
DI CESESE,PIETRO,DICESESE,PETER,823345,823345,Private,0
DOIG,JOHN GEORGE,DOIGE,JOHN GEORGE,452416,452416,Sergeant,0
ELRICK,NOEL BEALBY,ELRICH,NOEL B,437128,437128,Private,0
ENGSTRAM,LOUIS JOHN,ENGSTROM,LOUIS JOHN,117014,117014,Private,0
